tqi_mile,record_count
 tqi_mile  ,4230
786400,516
774400,516
777400,516
775400,516
795400,516
776400,516
783400,516
779400,516
887400,516
886400,516
793400,516
789400,516
792400,516
788400,516
794400,516
790400,516
778400,516
787400,516
781400,516
831400,515
813400,515
895400,515
896400,515
892400,515
744400,515
738400,515
876400,515
893400,515
743400,515
731400,515
737400,515
730400,515
739400,515
736400,515
935400,515
936400,515
753400,515
934400,515
751400,515
810400,515
809400,515
749400,515
811400,515
829400,515
828400,515
894400,515
827400,515
812400,515
885400,515
750400,515
933400,515
791400,515
748400,515
752400,515
764400,515
760400,515
759400,515
782400,515
771400,515
755400,515
796400,515
770400,515
761400,515
875400,515
765400,515
767400,515
898400,514
904400,514
889400,514
763400,514
713400,514
766400,514
949400,514
762400,514
716400,514
837400,514
821400,514
900400,514
772400,514
874400,514
905400,514
968400,514
817400,514
712400,514
718400,514
711400,514
963400,514
719400,514
717400,514
965400,514
970400,514
969400,514
967400,514
971400,514
972400,514
816400,514
913400,514
859400,514
754400,514
735400,514
729400,514
725400,514
733400,514
740400,514
723400,514
722400,514
773400,514
915400,514
890400,514
836400,514
912400,514
902400,514
906400,514
909400,514
962400,514
960400,514
826400,514
825400,514
807400,514
806400,514
903400,514
943400,514
937400,514
932400,514
931400,514
947400,514
945400,514
914400,514
879400,514
910400,514
966400,514
964400,514
959400,513
870400,513
847400,513
911400,513
907400,513
852400,513
822400,513
853400,513
958400,513
888400,513
940400,513
815400,513
856400,513
855400,513
741400,513
734400,513
842400,513
726400,513
728400,513
727400,513
724400,513
732400,513
745400,513
746400,513
844400,513
939400,513
814400,513
747400,513
956400,513
948400,513
974400,513
824400,513
864400,513
835400,513
946400,513
944400,513
808400,513
955400,513
942400,513
930400,513
862400,513
897400,513
830400,513
929400,513
846400,513
976400,513
961400,513
975400,513
758400,513
952400,513
993400,513
819400,513
820400,513
869400,513
992400,513
873400,513
951400,513
818400,513
840400,513
901400,513
899400,513
977400,513
742400,512
848400,512
957400,512
841400,512
872400,512
953400,512
994400,512
865400,512
720400,512
860400,512
858400,512
721400,512
861400,512
908400,512
928400,512
881400,512
845400,512
927400,512
823400,512
973400,512
871400,512
857400,512
866400,512
784400,512
780400,512
854400,512
882400,512
1008400,512
850400,512
843400,511
995400,511
839400,511
709400,511
838400,511
769400,511
1040400,511
849400,511
877400,511
950400,511
1010400,511
1034400,511
1039400,511
1029400,511
708400,511
832400,511
1041400,511
863400,511
851400,511
1033400,511
1003400,511
768400,511
1005400,510
1043400,510
1048400,510
1062400,510
941400,510
1079400,510
1068400,510
1082400,510
1065400,510
1063400,510
987400,510
989400,510
1113400,510
999400,510
997400,510
990400,510
1124400,510
805400,510
715400,510
1066400,510
1076400,510
880400,510
1044400,510
1057400,510
1054400,510
1131400,510
1127400,510
868400,510
1115400,510
1215400,510
1216400,510
1112400,510
1026400,510
1219400,510
1132400,510
1130400,510
1117400,510
1073400,510
1042400,510
1009400,510
1133400,510
1217400,510
1218400,510
1074400,510
1220400,510
1136400,510
1036400,510
1052400,510
1053400,510
1078400,510
1080400,510
1064400,510
834400,510
1081400,510
1175400,509
1051400,509
891400,509
1045400,509
1095400,509
998400,509
991400,509
988400,509
996400,509
1170400,509
1188400,509
1071400,509
1123400,509
1100400,509
1114400,509
1037400,509
1225400,509
1223400,509
1230400,509
1222400,509
1224400,509
1141400,509
1221400,509
1101400,509
1139400,509
1120400,509
1121400,509
1028400,509
1096400,509
1128400,509
1038400,509
1024400,509
1027400,509
1049400,509
1099400,509
1228400,509
878400,509
1140400,509
1103400,509
1226400,509
1227400,509
1061400,509
1007400,509
1129400,509
1069400,509
1187400,509
1176400,509
1178400,509
1183400,509
1182400,509
1184400,509
1075400,509
1067400,509
1077400,509
1070400,509
1050400,509
1186400,509
867400,509
1083400,509
1180400,508
1173400,508
1159400,508
1155400,508
1189400,508
1025400,508
1179400,508
1158400,508
1150400,508
1146400,508
1072400,508
1030400,508
1145400,508
1147400,508
884400,508
1177400,508
1165400,508
1160400,508
1185400,508
1172400,508
1181400,508
1164400,508
1169400,508
1148400,508
1031400,508
1094400,508
1109400,508
1118400,508
1191400,508
1157400,508
1162400,508
1167400,508
1098400,508
1190400,508
1156400,508
1108400,508
1116400,508
1154400,508
1138400,508
1135400,508
1023400,508
1020400,508
1122400,508
1142400,508
1093400,508
1110400,508
1229400,508
1126400,508
1137400,508
1231400,508
1212400,508
1089400,508
1214400,508
1213400,508
1211400,508
1022400,508
1163400,508
1161400,508
1134400,508
1111400,508
1058400,508
1102400,508
1153400,508
1084400,508
1059400,507
1032400,507
1104400,507
1174400,507
1088400,507
1060400,507
1192400,507
1013400,507
1151400,507
1168400,507
1149400,507
954400,507
1171400,507
1107400,507
1087400,507
1105400,507
707400,507
714400,507
1152400,507
1055400,507
1090400,507
1125400,507
1021400,507
1092400,507
1046400,507
1210400,507
1097400,507
1209400,506
1035400,506
1019400,506
1232400,506
1166400,506
1012400,506
1056400,506
1119400,506
1205400,506
1208400,506
1106400,506
1207400,506
1206400,506
1233400,505
1011400,505
1091400,505
1018400,505
1014400,504
1016400,504
1015400,503
1234400,503
1017400,502
785400,502
1086400,502
1047400,502
1235400,501
1239400,501
1237400,501
1236400,501
1004400,500
706400,500
925400,498
924400,498
705400,498
926400,494
1006400,494
986400,493
1238400,493
757400,493
985400,492
756400,492
1144400,492
1203400,488
1202400,488
1204400,487
883400,486
1201400,479
1193400,474
1143400,463
804400,462
833400,440
710400,421
938400,420
1085400,414
1002400,367
1240400,327
916400,321
642400,273
661400,273
650400,273
648400,273
641400,273
649400,273
646400,273
681400,273
644400,273
675400,273
664400,273
652400,273
654400,273
678400,273
684400,273
682400,273
683400,273
655400,273
660400,273
665400,273
668400,273
659400,273
679400,273
674400,273
651400,272
680400,272
645400,272
643400,272
647400,272
663400,272
685400,272
686400,272
662400,272
653400,272
656400,272
657400,272
666400,272
669400,272
667400,272
658400,272
640400,272
673400,271
670400,271
671400,270
687400,269
672400,269
1245400,268
1246400,267
1000400,267
1001400,266
1244400,266
1243400,264
1247400,264
505400,260
517400,260
444400,260
417400,260
502400,260
401400,260
504400,260
577400,260
578400,260
503400,260
507400,260
506400,260
501400,260
560400,260
571400,260
624400,260
581400,260
541400,260
568400,260
567400,260
450400,260
463400,260
497400,260
582400,260
625400,260
626400,260
588400,260
570400,260
467400,260
614400,260
615400,260
608400,260
610400,260
598400,260
603400,260
605400,260
607400,260
452400,260
515400,260
566400,260
599400,260
609400,260
509400,260
548400,260
547400,260
546400,260
446400,260
521400,260
591400,260
592400,260
590400,260
432400,260
494400,260
492400,260
491400,260
493400,260
448400,260
520400,260
583400,260
540400,260
483400,260
635400,260
628400,260
629400,260
522400,260
518400,260
498400,260
441400,260
449400,260
602400,260
531400,260
550400,260
553400,260
442400,260
611400,260
612400,260
604400,260
436400,260
437400,260
438400,260
439400,260
512400,260
440400,260
513400,260
511400,260
631400,260
589400,260
447400,260
479400,260
565400,260
601400,260
600400,260
510400,260
580400,260
516400,260
597400,260
584400,260
586400,260
443400,260
632400,260
637400,260
496400,260
616400,260
595400,260
593400,260
552400,260
551400,260
630400,260
636400,260
527400,260
490400,260
525400,260
526400,260
528400,260
562400,260
393400,260
530400,260
536400,260
533400,260
532400,260
538400,260
535400,260
543400,260
486400,260
617400,260
451400,260
563400,260
619400,260
519400,260
555400,260
561400,260
621400,260
475400,260
618400,260
572400,260
639400,260
478400,260
569400,260
620400,260
495400,260
524400,260
482400,260
488400,260
489400,260
487400,260
508400,260
558400,260
559400,260
556400,260
557400,260
564400,260
539400,260
534400,260
537400,260
542400,260
499400,260
500400,260
471400,260
365400,260
523400,260
466400,260
613400,260
514400,260
587400,260
622400,260
623400,260
465400,260
484400,260
485400,260
585400,260
627400,260
638400,260
409400,260
413400,259
408400,259
434400,259
389400,259
470400,259
366400,259
435400,259
469400,259
370400,259
369400,259
574400,259
529400,259
474400,259
480400,259
468400,259
423400,259
545400,259
544400,259
445400,259
415400,259
554400,259
606400,259
395400,259
634400,259
424400,259
425400,259
549400,259
573400,259
633400,259
476400,259
397400,259
396400,259
392400,259
394400,259
462400,259
481400,259
473400,259
579400,259
418400,259
381400,259
402400,259
372400,259
368400,259
464400,259
371400,259
575400,259
416400,259
477400,259
360400,259
472400,259
367400,259
594400,259
431400,258
388400,258
384400,258
407400,258
379400,258
430400,258
453400,258
420400,258
433400,258
361400,258
412400,258
456400,258
411400,258
414400,258
364400,258
383400,258
427400,258
457400,258
576400,258
399400,258
429400,258
398400,258
391400,258
363400,258
385400,258
377400,258
382400,258
458400,258
406400,257
403400,257
426400,257
374400,257
376400,257
373400,257
387400,257
390400,257
400400,257
362400,257
405400,257
461400,257
375400,256
378400,256
419400,256
689400,256
688400,256
459400,256
596400,256
428400,256
410400,256
460400,256
692400,255
691400,255
380400,255
421400,255
404400,255
358400,254
359400,254
203400,253
198400,253
200400,253
201400,253
199400,253
204400,253
207400,253
353400,253
349400,253
254400,253
229400,253
217400,253
236400,253
224400,253
205400,253
227400,253
232400,253
251400,253
240400,253
206400,253
237400,253
357400,253
337400,253
253400,253
341400,253
693400,253
226400,253
255400,253
219400,253
252400,253
210400,253
211400,253
220400,253
214400,253
195400,253
248400,253
228400,253
239400,253
238400,253
345400,253
243400,253
690400,253
250400,253
225400,253
246400,253
249400,253
244400,253
247400,253
230400,253
215400,253
234400,253
245400,253
197400,253
208400,253
354400,252
325400,252
267400,252
202400,252
335400,252
218400,252
265400,252
347400,252
317400,252
262400,252
241400,252
338400,252
343400,252
342400,252
301400,252
336400,252
212400,252
266400,252
272400,252
235400,252
270400,252
355400,252
313400,252
340400,252
352400,252
213400,252
305400,252
289400,252
209400,252
271400,252
350400,252
351400,252
233400,252
264400,252
356400,252
196400,252
346400,252
268400,252
329400,252
333400,252
285400,252
339400,252
281400,252
277400,252
334400,252
348400,252
274400,252
242400,252
309400,252
308400,251
288400,251
326400,251
296400,251
291400,251
330400,251
328400,251
311400,251
304400,251
294400,251
315400,251
287400,251
327400,251
223400,251
286400,251
216400,251
231400,251
303400,251
269400,251
299400,251
292400,251
295400,251
263400,251
273400,251
312400,251
221400,251
324400,251
293400,251
302400,251
344400,251
321400,251
306400,251
318400,251
278400,251
280400,251
279400,251
282400,251
276400,251
283400,251
297400,251
275400,251
307400,251
319400,251
316400,251
310400,251
284400,251
298400,251
314400,251
300400,251
332400,250
331400,250
320400,250
677400,249
222400,249
322400,249
323400,248
290400,248
386400,247
676400,245
422400,236
694400,231
455400,210
454400,209
1242400,206
194400,192
182400,184
186400,184
183400,184
184400,184
189400,184
187400,184
180400,184
179400,184
192400,184
177400,184
181400,184
191400,184
193400,184
178400,184
190400,184
188400,184
124400,183
126400,183
131400,183
133400,183
132400,183
101400,183
96400,183
17400,183
85400,183
76400,183
77400,183
16400,183
123400,183
167400,183
172400,183
142400,183
145400,183
144400,183
143400,183
105400,183
92400,183
26400,183
42400,183
141400,183
75400,183
71400,183
50400,183
64400,183
57400,183
49400,183
60400,183
55400,183
44400,183
66400,183
7400,183
155400,183
146400,183
27400,183
6400,183
128400,183
114400,183
112400,183
113400,183
111400,183
91400,183
89400,183
86400,183
90400,183
88400,183
87400,183
122400,183
121400,183
116400,183
118400,183
117400,183
120400,183
119400,183
115400,183
160400,183
159400,183
156400,183
164400,183
162400,183
170400,183
52400,183
48400,183
45400,183
70400,183
58400,183
56400,183
53400,183
69400,183
63400,183
47400,183
67400,183
62400,183
161400,183
158400,183
157400,183
148400,183
147400,183
43400,183
134400,183
166400,183
165400,183
163400,183
153400,183
150400,183
149400,183
152400,183
154400,183
5400,183
175400,183
176400,183
171400,183
174400,183
51400,183
65400,183
59400,183
151400,183
14400,183
11400,183
10400,183
8400,183
13400,183
22400,183
18400,183
20400,183
19400,183
24400,183
169400,183
168400,183
68400,183
61400,183
79400,183
80400,183
82400,183
81400,183
12400,183
15400,183
139400,183
136400,183
140400,183
137400,183
38400,183
72400,183
25400,183
127400,183
83400,183
73400,183
74400,183
21400,183
138400,183
135400,183
109400,183
107400,183
110400,183
106400,183
108400,183
78400,183
35400,183
28400,183
23400,183
129400,183
41400,183
32400,183
34400,183
30400,183
39400,183
125400,183
130400,183
84400,183
33400,183
40400,183
31400,183
37400,183
29400,183
36400,183
9400,183
185400,183
95400,183
94400,183
104400,183
99400,183
103400,183
97400,183
100400,183
93400,183
98400,183
102400,183
173400,182
54400,182
4400,182
46400,181
2400,180
3400,180
704400,109
1241400,103
1248400,97
1249400,92
696400,45
695400,45
697400,45
1200400,43
260400,40
256400,40
259400,40
261400,40
257400,40
258400,40
923400,39
1197400,27
1194400,27
1195400,27
1196400,27
978400,26
979400,25
918400,18
917400,18
1198400,9
1199400,9
983400,8
982400,8
981400,8
980400,8
798400,8
797400,7
703400,6
984400,6
919400,4
803400,3
920400,3
800400,3
799400,3
802400,3
801400,3
921400,2
922400,2
698400,1
702400,1
