dete_dt,tqi_val,tqi_lprf,tqi_rprf,tqi_laln,tqi_raln,tqi_gage,tqi_warp1,tqi_xlvl
2012-12-12,3.323,0.751,0.783,0.28,0.269,0.283,0.435,0.522
2012-12-20,3.518,0.787,0.888,0.283,0.262,0.295,0.446,0.558
2012-12-28,4.033,0.912,0.967,0.485,0.485,0.0,0.517,0.667
2013-01-10,4.132,0.989,1.048,0.31,0.296,0.296,0.514,0.679
2013-01-18,4.34,1.099,1.117,0.295,0.291,0.278,0.555,0.705
2013-01-30,4.341,1.098,1.109,0.308,0.302,0.299,0.547,0.678
2013-02-07,4.47,1.167,1.186,0.3,0.288,0.303,0.553,0.673
2013-02-19,5.684,1.098,1.115,0.657,0.917,0.65,0.552,0.694
2013-03-01,4.502,1.231,1.185,0.337,0.338,0.016,0.601,0.794
2013-03-12,4.511,1.083,1.147,0.296,0.291,0.308,0.606,0.78
2013-03-20,3.893,1.019,0.989,0.255,0.259,0.312,0.506,0.554
2013-03-29,3.705,0.935,0.914,0.277,0.26,0.316,0.471,0.532
2013-04-19,3.141,0.63,0.427,0.385,0.357,0.334,0.535,0.472
2013-04-25,2.631,0.367,0.423,0.294,0.32,0.373,0.434,0.422
2013-05-04,2.635,0.336,0.379,0.349,0.351,0.4,0.413,0.407
2013-05-15,2.461,0.342,0.387,0.289,0.308,0.319,0.414,0.401
2013-05-31,2.862,0.437,0.412,0.322,0.326,0.336,0.539,0.49
2013-08-16,2.616,0.481,0.468,0.301,0.26,0.286,0.466,0.355
2013-08-30,2.627,0.442,0.424,0.325,0.271,0.443,0.414,0.307
2013-09-14,2.537,0.453,0.457,0.264,0.238,0.299,0.468,0.358
2013-09-28,2.521,0.468,0.475,0.296,0.265,0.276,0.411,0.33
2013-10-15,2.662,0.479,0.463,0.315,0.284,0.293,0.454,0.374
2013-10-29,2.562,0.476,0.446,0.311,0.284,0.294,0.423,0.328
2013-11-13,2.59,0.461,0.452,0.304,0.27,0.299,0.445,0.358
2013-11-27,2.438,0.461,0.465,0.294,0.258,0.291,0.376,0.292
2013-12-11,2.699,0.445,0.492,0.257,0.301,0.297,0.424,0.482
2013-12-23,3.26,0.737,0.643,0.261,0.305,0.308,0.463,0.543
2014-01-10,3.89,0.949,0.802,0.277,0.31,0.317,0.535,0.7
2014-01-24,4.166,1.001,0.927,0.35,0.297,0.452,0.492,0.647
2014-02-03,4.671,1.277,1.015,0.262,0.276,0.311,0.696,0.835
2014-02-17,4.082,1.035,0.934,0.257,0.276,0.313,0.553,0.713
2014-02-23,4.151,1.054,0.95,0.266,0.285,0.315,0.557,0.724
2014-03-07,4.08,1.046,0.973,0.269,0.297,0.326,0.512,0.657
2014-03-17,3.744,0.892,0.832,0.259,0.271,0.312,0.545,0.633
2014-03-27,3.32,0.652,0.746,0.257,0.299,0.329,0.505,0.532
2014-04-04,2.34,0.37,0.32,0.22,0.28,0.33,0.4,0.42
2014-04-22,2.642,0.402,0.385,0.255,0.351,0.364,0.467,0.417
2014-05-04,2.78,0.43,0.43,0.28,0.34,0.33,0.5,0.47
2014-05-16,2.59,0.38,0.34,0.25,0.36,0.36,0.5,0.4
2014-05-30,2.18,0.44,0.36,0.25,0.33,0.33,0.25,0.22
2014-06-16,2.45,0.37,0.3,0.32,0.26,0.36,0.47,0.37
2014-06-29,2.6,0.38,0.4,0.33,0.26,0.33,0.5,0.4
2014-07-23,2.59,0.4,0.42,0.3,0.25,0.29,0.5,0.43
2014-08-10,2.56,0.4,0.42,0.3,0.25,0.29,0.5,0.4
2014-08-27,2.47,0.39,0.4,0.32,0.26,0.3,0.43,0.37
2014-09-15,2.51,0.4,0.42,0.3,0.26,0.29,0.47,0.37
2014-09-29,2.55,0.45,0.43,0.28,0.25,0.26,0.47,0.4
2014-10-06,2.6,0.43,0.43,0.3,0.26,0.28,0.5,0.4
2014-10-21,2.5,0.4,0.4,0.3,0.25,0.28,0.47,0.4
2014-11-06,2.45,0.36,0.4,0.29,0.3,0.26,0.43,0.4
2014-11-21,2.43,0.39,0.4,0.31,0.26,0.27,0.43,0.37
2014-12-07,3.35,0.73,0.74,0.3,0.27,0.32,0.47,0.53
2014-12-14,3.95,0.9,1.02,0.33,0.29,0.33,0.5,0.59
2014-12-17,3.86,0.88,1.01,0.34,0.29,0.32,0.47,0.56
2014-12-20,3.74,0.84,0.96,0.32,0.28,0.32,0.47,0.56
2014-12-23,3.85,0.87,1.02,0.31,0.28,0.32,0.5,0.56
2014-12-26,3.74,0.84,0.9,0.31,0.28,0.33,0.5,0.59
2014-12-29,3.87,0.86,0.95,0.31,0.28,0.33,0.53,0.62
2015-01-03,4.01,0.88,0.94,0.3,0.28,0.33,0.59,0.68
2015-01-07,4.3,0.98,1.13,0.33,0.3,0.33,0.56,0.68
2015-01-10,4.28,0.98,1.04,0.31,0.3,0.33,0.62,0.71
2015-01-13,4.43,0.98,1.04,0.32,0.31,0.33,0.65,0.81
2015-01-17,3.05,0.89,1.05,0.0,0.0,0.0,0.53,0.59
2015-01-24,4.3,0.95,1.09,0.37,0.35,0.33,0.56,0.65
2015-01-30,4.68,1.05,1.15,0.38,0.34,0.34,0.65,0.78
2015-02-02,4.63,1.06,1.15,0.38,0.34,0.34,0.62,0.74
2015-02-05,4.79,1.11,1.22,0.39,0.35,0.33,0.65,0.74
2015-02-09,4.81,1.09,1.33,0.41,0.37,0.32,0.59,0.71
2015-02-17,3.74,0.85,1.18,0.0,0.0,0.0,0.71,0.99
2015-02-22,3.6,0.98,1.23,0.0,0.0,0.0,0.62,0.78
2015-02-27,4.93,1.18,1.28,0.42,0.35,0.34,0.62,0.74
2015-03-03,4.81,1.15,1.27,0.37,0.31,0.34,0.62,0.74
2015-03-07,4.82,1.15,1.26,0.38,0.32,0.35,0.62,0.74
2015-03-11,4.7,1.15,1.3,0.36,0.33,0.32,0.56,0.68
2015-03-15,4.73,1.14,1.26,0.35,0.31,0.33,0.59,0.74
2015-03-19,4.38,1.08,1.12,0.33,0.28,0.33,0.62,0.62
2015-03-24,3.88,0.84,0.96,0.32,0.28,0.33,0.56,0.59
2015-03-30,3.56,0.84,0.77,0.31,0.26,0.33,0.53,0.53
2015-05-15,2.69,0.39,0.33,0.38,0.3,0.36,0.5,0.43
2015-05-28,2.61,0.38,0.41,0.36,0.29,0.34,0.43,0.4
2015-06-15,2.8,0.4,0.43,0.4,0.31,0.36,0.47,0.43
2015-06-28,2.87,0.4,0.43,0.4,0.33,0.38,0.5,0.43
2015-07-15,2.7,0.42,0.43,0.38,0.31,0.33,0.43,0.4
2015-07-28,2.76,0.4,0.4,0.4,0.33,0.36,0.47,0.4
2015-08-15,2.95,0.46,0.43,0.4,0.34,0.37,0.5,0.47
2015-08-28,2.97,0.49,0.42,0.38,0.32,0.37,0.53,0.47
2015-09-22,2.7,0.43,0.47,0.33,0.28,0.33,0.43,0.43
2015-10-17,2.53,0.38,0.43,0.3,0.26,0.32,0.43,0.4
2015-10-30,2.36,0.36,0.43,0.28,0.26,0.31,0.37,0.34
2015-11-22,2.52,0.4,0.45,0.31,0.28,0.31,0.4,0.37
2015-11-28,3.49,0.73,0.75,0.35,0.3,0.33,0.47,0.56
2015-12-04,3.69,0.82,0.85,0.34,0.3,0.33,0.5,0.56
2015-12-08,3.94,0.89,0.97,0.35,0.31,0.33,0.5,0.59
2015-12-12,3.87,0.88,0.95,0.34,0.31,0.33,0.5,0.56
2015-12-18,4.07,0.91,1.03,0.34,0.31,0.33,0.53,0.62
2015-12-24,3.94,0.87,0.98,0.34,0.31,0.33,0.53,0.59
2015-12-31,3.98,0.88,1.02,0.31,0.29,0.33,0.53,0.62
2016-01-03,4.02,0.92,1.04,0.32,0.29,0.33,0.53,0.59
2016-01-07,4.12,0.95,1.08,0.31,0.29,0.34,0.53,0.62
2016-01-12,4.27,1.01,1.16,0.31,0.29,0.33,0.53,0.65
2016-01-27,4.47,1.07,1.23,0.32,0.31,0.33,0.56,0.65
2016-02-01,4.55,1.08,1.24,0.34,0.33,0.33,0.59,0.65
2016-02-13,3.64,1.12,1.26,0.0,0.0,0.0,0.59,0.68
2016-02-18,4.74,1.15,1.3,0.34,0.31,0.33,0.59,0.71
2016-02-25,4.62,1.15,1.29,0.3,0.28,0.33,0.59,0.68
2016-03-06,4.62,1.18,1.31,0.32,0.3,0.33,0.56,0.62
2016-03-17,3.87,0.82,0.86,0.33,0.34,0.4,0.56,0.56
2016-03-24,3.41,0.74,0.74,0.26,0.26,0.33,0.53,0.56
2016-03-29,2.97,0.67,0.55,0.26,0.23,0.33,0.47,0.47
2016-04-06,2.57,0.38,0.43,0.3,0.28,0.33,0.43,0.4
2016-04-12,2.46,0.39,0.43,0.28,0.26,0.33,0.37,0.4
2016-04-18,2.49,0.39,0.44,0.28,0.25,0.33,0.4,0.4
2016-04-22,2.51,0.4,0.43,0.28,0.26,0.33,0.4,0.4
2016-04-25,2.52,0.39,0.44,0.27,0.25,0.33,0.43,0.4
2016-04-28,2.57,0.4,0.44,0.28,0.25,0.33,0.43,0.43
2016-05-03,2.95,0.42,0.43,0.31,0.34,0.64,0.4,0.4
2016-05-10,2.62,0.41,0.43,0.31,0.27,0.33,0.43,0.43
2016-05-25,1.78,0.47,0.44,0.0,0.0,0.0,0.43,0.43
2016-06-14,2.53,0.39,0.43,0.3,0.27,0.34,0.4,0.4
2016-06-24,2.64,0.43,0.42,0.32,0.27,0.33,0.43,0.43
2016-07-06,2.71,0.5,0.47,0.29,0.26,0.33,0.43,0.43
2016-07-15,2.78,0.51,0.47,0.29,0.26,0.34,0.47,0.43
2016-08-07,2.78,0.49,0.47,0.31,0.27,0.34,0.47,0.43
2016-08-24,2.78,0.47,0.44,0.34,0.29,0.34,0.47,0.43
2016-09-08,2.94,0.5,0.44,0.37,0.32,0.32,0.5,0.5
2016-09-25,2.86,0.46,0.44,0.38,0.32,0.33,0.47,0.47
2016-10-11,2.79,0.4,0.45,0.35,0.3,0.36,0.47,0.47
2016-10-25,2.51,0.36,0.43,0.34,0.28,0.33,0.37,0.4
2016-11-06,2.54,0.36,0.43,0.33,0.28,0.33,0.4,0.4
2016-11-11,2.61,0.4,0.42,0.33,0.27,0.32,0.43,0.43
2016-11-16,3.28,0.43,0.43,0.76,0.76,0.01,0.47,0.43
2016-11-23,2.78,0.49,0.49,0.32,0.27,0.32,0.47,0.43
2016-11-27,3.21,0.64,0.54,0.35,0.29,0.33,0.56,0.5
2016-12-02,3.41,0.71,0.55,0.33,0.29,0.33,0.62,0.59
2016-12-09,2.37,0.7,0.68,0.0,0.0,0.0,0.5,0.5
2016-12-15,3.94,0.91,0.95,0.35,0.3,0.32,0.53,0.59
2016-12-22,3.78,0.81,0.85,0.35,0.32,0.33,0.53,0.59
2016-12-28,4.04,0.94,0.99,0.33,0.31,0.33,0.56,0.59
2017-01-04,4.02,0.91,0.98,0.31,0.28,0.33,0.59,0.62
2017-01-12,4.25,0.99,1.09,0.3,0.29,0.33,0.59,0.65
2017-01-21,4.46,1.05,1.22,0.28,0.28,0.33,0.59,0.71
2017-02-06,4.5,1.06,1.25,0.28,0.3,0.33,0.59,0.68
2017-02-13,3.99,0.91,0.97,0.29,0.32,0.35,0.53,0.62
2017-02-24,4.57,1.3,1.18,0.32,0.3,0.33,0.53,0.62
2017-03-02,4.42,1.1,1.19,0.29,0.29,0.33,0.56,0.65
2017-03-15,3.53,0.73,0.85,0.28,0.28,0.33,0.5,0.56
2017-03-21,3.4,0.75,0.8,0.29,0.29,0.33,0.43,0.5
2017-04-02,2.84,0.46,0.47,0.34,0.31,0.33,0.47,0.47
2017-04-07,2.79,0.45,0.48,0.34,0.29,0.33,0.47,0.43
2017-04-13,2.9,0.48,0.52,0.34,0.29,0.34,0.47,0.47
2017-04-19,2.95,0.5,0.5,0.35,0.3,0.34,0.5,0.47
2017-04-24,2.92,0.48,0.53,0.34,0.3,0.33,0.47,0.47
2017-04-28,3.02,0.48,0.54,0.36,0.3,0.34,0.5,0.5
2017-05-05,2.86,0.47,0.5,0.35,0.29,0.33,0.47,0.47
2017-05-23,1.82,0.47,0.48,0.0,0.0,0.0,0.43,0.43
2017-06-08,2.79,0.42,0.45,0.36,0.35,0.35,0.43,0.43
2017-06-26,2.75,0.46,0.47,0.35,0.31,0.36,0.4,0.4
2017-07-08,2.8,0.47,0.45,0.37,0.32,0.36,0.43,0.4
2017-07-26,2.87,0.5,0.48,0.36,0.31,0.36,0.43,0.43
2017-08-06,2.92,0.45,0.5,0.37,0.33,0.37,0.43,0.47
2017-08-26,2.89,0.46,0.47,0.37,0.32,0.37,0.47,0.43
2017-09-08,2.86,0.47,0.48,0.36,0.32,0.34,0.47,0.43
2017-10-08,3.01,0.53,0.49,0.37,0.32,0.36,0.5,0.43
2017-10-28,2.98,0.48,0.5,0.35,0.32,0.36,0.5,0.47
2017-11-08,2.83,0.41,0.51,0.35,0.33,0.33,0.47,0.43
2017-11-16,2.77,0.45,0.51,0.34,0.32,0.34,0.4,0.4
2017-11-20,2.71,0.42,0.5,0.33,0.32,0.33,0.4,0.4
2017-11-23,2.77,0.42,0.53,0.34,0.33,0.34,0.4,0.4
2017-11-26,2.94,0.48,0.54,0.34,0.34,0.34,0.47,0.43
2017-11-30,2.99,0.49,0.57,0.34,0.34,0.35,0.47,0.43
2017-12-03,3.27,0.57,0.67,0.34,0.35,0.36,0.5,0.5
2017-12-07,3.69,0.71,0.83,0.4,0.39,0.35,0.5,0.53
2017-12-10,3.79,0.72,0.86,0.39,0.39,0.35,0.5,0.59
2017-12-13,3.76,0.71,0.85,0.42,0.42,0.32,0.5,0.56
2017-12-17,3.7,0.71,0.88,0.39,0.39,0.34,0.47,0.53
2017-12-23,3.88,0.74,0.91,0.37,0.37,0.34,0.53,0.62
2018-01-05,4.32,0.9,1.09,0.37,0.37,0.36,0.56,0.68
2018-01-18,4.53,0.97,1.15,0.42,0.42,0.33,0.56,0.68
2018-01-30,4.62,1.05,1.14,0.45,0.43,0.35,0.53,0.68
2018-02-05,4.52,1.01,1.09,0.42,0.42,0.33,0.56,0.71
2018-02-13,4.31,0.98,1.07,0.39,0.38,0.32,0.53,0.65
2018-02-23,4.5,0.98,1.1,0.47,0.45,0.33,0.53,0.65
2018-03-11,4.56,1.02,1.18,0.43,0.4,0.33,0.56,0.65
2018-03-16,4.22,0.99,1.09,0.4,0.38,0.36,0.5,0.5
2018-03-21,4.07,0.96,1.03,0.37,0.35,0.36,0.5,0.5
2018-03-26,3.8,0.86,0.87,0.33,0.34,0.38,0.5,0.53
2018-03-30,3.58,0.81,0.73,0.35,0.34,0.39,0.5,0.47
2018-04-03,2.71,0.44,0.47,0.38,0.33,0.35,0.37,0.37
2018-04-08,2.59,0.41,0.47,0.35,0.31,0.34,0.37,0.34
2018-04-12,2.7,0.42,0.47,0.39,0.33,0.35,0.37,0.37
2018-04-17,2.71,0.42,0.49,0.38,0.33,0.35,0.37,0.37
2018-04-23,2.67,0.42,0.5,0.37,0.32,0.33,0.37,0.37
2018-04-28,2.69,0.43,0.5,0.37,0.31,0.34,0.37,0.37
2018-05-04,2.64,0.43,0.48,0.37,0.31,0.34,0.37,0.34
2018-05-09,2.73,0.44,0.5,0.38,0.31,0.33,0.4,0.37
2018-05-19,2.76,0.47,0.48,0.38,0.32,0.34,0.4,0.37
2018-06-15,2.95,0.46,0.5,0.42,0.36,0.32,0.43,0.47
2018-06-22,2.87,0.47,0.5,0.39,0.32,0.33,0.43,0.43
2018-07-01,2.87,0.46,0.5,0.42,0.36,0.33,0.4,0.4
2018-07-19,2.66,0.42,0.5,0.37,0.31,0.35,0.37,0.34
2018-08-04,2.7,0.46,0.51,0.36,0.3,0.36,0.37,0.34
2018-08-23,2.75,0.48,0.45,0.41,0.34,0.33,0.37,0.37
2018-09-05,2.71,0.46,0.47,0.4,0.31,0.34,0.37,0.37
2018-09-23,3.01,0.47,0.51,0.43,0.35,0.35,0.43,0.47
2018-10-05,3.0,0.45,0.5,0.44,0.36,0.35,0.47,0.43
2018-10-19,2.73,0.47,0.5,0.37,0.32,0.33,0.37,0.37
2018-11-10,2.59,0.42,0.47,0.35,0.31,0.3,0.37,0.37
2018-11-15,2.57,0.4,0.46,0.35,0.31,0.31,0.37,0.37
2018-11-20,2.67,0.45,0.5,0.36,0.3,0.33,0.37,0.37
2018-11-24,2.65,0.45,0.51,0.34,0.29,0.31,0.37,0.37
2018-11-28,2.66,0.46,0.51,0.35,0.31,0.32,0.37,0.34
2018-12-03,2.67,0.42,0.49,0.35,0.32,0.32,0.4,0.37
2018-12-07,2.95,0.58,0.58,0.35,0.31,0.33,0.4,0.4
2018-12-12,3.87,0.9,0.95,0.41,0.37,0.34,0.43,0.47
2018-12-16,3.75,0.87,0.93,0.4,0.35,0.33,0.4,0.47
2018-12-21,2.57,0.77,0.91,0.0,0.0,0.0,0.4,0.5
2018-12-25,3.73,0.81,0.91,0.41,0.36,0.33,0.43,0.47
2018-12-29,3.8,0.88,0.98,0.38,0.35,0.34,0.43,0.43
2019-01-02,3.92,0.87,1.05,0.37,0.34,0.33,0.47,0.5
2019-01-07,4.04,0.95,1.09,0.37,0.34,0.34,0.47,0.5
2019-01-12,4.15,0.98,1.11,0.36,0.33,0.35,0.5,0.53
2019-01-18,4.15,0.96,1.11,0.37,0.35,0.34,0.5,0.53
2019-01-23,4.19,1.04,1.1,0.36,0.35,0.35,0.5,0.5
2019-01-28,4.16,1.03,1.1,0.37,0.35,0.35,0.47,0.5
2019-02-01,4.12,0.98,1.12,0.34,0.32,0.36,0.47,0.53
2019-02-10,4.21,1.01,1.16,0.35,0.34,0.36,0.47,0.53
2019-02-15,3.13,1.0,1.14,0.0,0.0,0.0,0.47,0.53
2019-02-21,4.25,1.06,1.15,0.35,0.34,0.36,0.47,0.53
2019-02-26,4.15,1.03,1.15,0.34,0.32,0.36,0.47,0.5
2019-03-04,3.89,0.94,1.05,0.34,0.31,0.35,0.43,0.47
2019-03-10,3.31,0.74,0.81,0.3,0.29,0.34,0.43,0.4
2019-03-16,3.15,0.58,0.67,0.34,0.32,0.37,0.43,0.43
