历史均值,v2.3_no_seasonal,v2.4_ema,v2.4_recent,v2.4_robust,v2.4_trend,v2.4_quarter,v2.4_last,v2.4_trimmed,v2.4_ensemble,mile
0.3308017829627997,0.605909090909091,0.28359953051078884,0.5782438460164722,0.30018181818181794,0.589269035058873,0.36357733175914925,0.359090909090909,0.27925082312054145,0.2895608353510891,707400
0.6271018589253884,1.3415584415584416,1.4840637844365512,0.9693645935519495,0.47155844155844157,1.2414425191992902,1.5170129870129871,1.3415584415584416,0.5483319607222055,1.0131942959001783,708400
1.1450020371785077,0.1748571428571427,1.6291902968813223,1.3145064587602246,1.1731168831168828,1.6203378124150984,1.2967532467532477,2.4831168831168835,1.134228381374724,1.5561715049656226,709400
1.0777597314477538,1.056820512820513,1.225648463653476,1.107354072305917,1.054871794871795,1.0064758982731612,1.1308717948717946,1.24,1.038540324727176,1.1473929243149301,711400
0.5908532247696592,0.5908532247696592,0.2439216071715201,0.4565943452637224,0.6261538461538462,0.3290924860947012,0.364666666666667,0.22000000000000006,0.6057503327122703,0.3634514558483914,712400
0.6281481322762662,0.6281481322762662,0.23296293932953907,0.43169250287195754,0.6320512820512821,0.2212949189184012,0.28464102564102556,0.2551282051282051,0.6183169195279923,0.34515681022784084,713400
1.5701487636657137,1.3566883116883113,1.4638234820319596,1.7743366434226684,1.6066883116883113,2.1023769286898526,1.3756883116883116,1.6516883116883117,1.5829242271812696,1.6727200913493285,714400
0.7968199643493756,0.7479740259740257,0.9645921293178576,0.884742307866222,0.7859740259740259,0.9836462815186386,0.8250649350649356,0.9459740259740262,0.7934095660437125,0.8949355105678639,715400
1.2992251982001282,1.606452991452992,1.6130196492211821,1.4626864847437457,1.3392307692307692,1.7517337758496097,1.4772307692307691,1.769230769230769,1.3227324993345757,1.520062709806442,716400
1.052802014141847,1.249337606837607,1.1784809704186916,1.1702451766128859,1.0846153846153848,1.3796664897439486,1.0616153846153853,1.2746153846153847,1.0804008517434123,1.1797453753303337,717400
1.3968539390043566,1.7678205128205127,1.7439254598476692,1.547069397312742,1.4298205128205126,1.774775022165216,1.5608205128205124,2.062820512820513,1.4197374678378138,1.685828869366474,718400
0.8592844796800231,1.0961965811965817,1.0988119819873505,0.9804628932379325,0.8656410256410257,1.1547055854051131,0.920641025641026,1.1256410256410259,0.8554991571289148,1.004885222484108,719400
1.9382735616338977,1.8712987012987012,2.040680830865228,2.039060608049601,2.0012987012987016,2.2394238656265824,1.9831168831168837,1.8712987012987012,1.9999098124098122,2.0109590830491677,721400
1.396837083065495,1.3597863247863244,1.3912187815597306,1.3703293695310153,1.3625641025641024,1.2913188549281593,1.1132307692307692,1.8925641025641022,1.4380139295537222,1.4790490143561175,722400
1.114541675594601,1.3323076923076922,1.34004301584335,1.2172199772112402,1.142307692307692,1.3486246041982637,1.1893076923076924,1.5223076923076924,1.1435879691243016,1.293199521462753,723400
1.042054878269363,1.183896103896104,1.2349643711210119,1.1252530715893327,1.043896103896104,1.1785065290891967,1.0957142857142854,1.183896103896104,1.0541590796746503,1.1492691308227518,724400
0.9224309692164848,1.2316452991452989,1.2451714842260049,1.04323838337315,0.9435897435897436,1.258677435839579,1.1085897435897434,1.413589743589743,0.9466451069115428,1.147050049996429,725400
0.30774253879824925,0.474025974025974,0.5320253507139394,0.45228685432184246,0.33311688311688326,0.7133123698666377,0.4536599763872495,0.474025974025974,0.3392108030377924,0.44947364613102786,726400
0.6331494410881598,1.104415584415584,1.0555512628364114,0.8455731639822965,0.6603896103896105,1.2665532251826643,0.9735064935064937,1.104415584415584,0.6630825057295643,0.899173940961546,727400
1.459847881923091,0.8288311688311686,1.4507953699470095,1.6191630877127967,1.528831168831169,1.8982709710958923,1.5315584415584416,0.8288311688311686,1.5053571203882623,1.4047520137708158,728400
0.7868957217341617,1.1275427350427347,1.0937882040089368,0.9158898487224206,0.8348205128205128,1.085075236525404,0.9558205128205132,1.2028205128205127,0.8321250110904088,1.0065893150489251,729400
0.7948408119658121,1.0519301994301997,0.9684196006993372,0.9115673789173792,0.8097435897435897,1.1003683008511527,0.8723589743589744,1.0469230769230766,0.8286817129629629,0.9463490918803421,730400
1.328774572649573,1.6472934472934475,1.5559789768712669,1.501175071225071,1.3404358974358976,1.7652122463007687,1.4561794871794873,1.7189743589743587,1.3659228098290597,1.5306637286324782,731400
1.0983498534891294,1.0945454545454545,1.1819345585701084,1.183116321889133,1.1105194805194805,1.3618424124601167,1.144887839433294,1.0945454545454545,1.117529995955601,1.1475452555800747,732400
0.3411488465109632,1.1462393162393165,0.2587117405926647,0.24069608138804513,0.4038461538461539,0.5791699400428569,0.317307692307692,0.23871794871794869,0.3898802235826459,0.2926269909292194,733400
0.25048496906992734,0.3409610389610384,0.26701945626456486,0.4618594186694771,0.30311688311688323,1.0144865967394467,0.3086658795749707,0.32142857142857145,0.3008189457601221,0.5570699936089911,734400
0.6780084993929005,1.0643162393162395,0.9756583287631215,0.8658639899553237,0.7028205128205126,1.256308094314093,0.8507692307692307,1.0602564102564103,0.708306006565522,0.8953088350832081,735400
1.4705053418803418,1.2601025641025643,1.5910500335180524,1.687497008547008,1.3441025641025641,1.9035440354659408,1.5091025641025646,1.6941025641025642,1.3487345085470088,1.7111199252136755,736400
1.02489650997151,1.2362535612535612,1.2324296591028276,1.1134825641025639,1.040769230769231,1.3346832974561749,1.1647179487179486,1.3284615384615386,1.0418892450142447,1.1583625000000002,737400
0.5513410256410253,0.6112820512820516,1.0997431425956627,0.7829422792022793,0.6112820512820512,1.3053502685090494,0.9944615384615384,1.2043589743589749,0.5781698717948718,0.8771209757834751,738400
0.4117074786324787,0.2147179487179487,0.7182201487268479,0.57866339031339,0.4535897435897435,0.9264010262650194,0.5944871794871798,0.8915384615384614,0.44232532051282075,0.6374525462962959,739400
0.4846109563602599,0.603290598290598,0.5861838590562015,0.5093214399238507,0.48794871794871797,0.668172811306242,0.5255897435897432,0.7356410256410256,0.4883128382574749,0.5500468537961577,740400
1.3923813261946971,1.5159740259740258,1.5669713874636604,1.5442063234139143,1.3927272727272726,1.8024899257364333,1.5142502951593853,1.5159740259740258,1.4003576147036352,1.540457885661228,741400
1.4088350504244358,1.37025974025974,1.362537013049839,1.5495439728339324,1.411753246753247,1.7894989275437312,1.2746989374262105,1.37025974025974,1.4223443362193364,1.4873256457229922,742400
1.2132410968660972,1.4143589743589746,1.3424081280497246,1.3191839031339025,1.2512820512820515,1.4583653877749225,1.2361025641025645,1.4735897435897432,1.2529818376068373,1.3597711894586892,743400
0.8030297008547004,1.2177991452991448,1.0733072035079216,0.9928358119658122,0.773076923076923,1.2720878637263275,0.9970769230769226,1.213076923076923,0.8121672008547005,1.029148450854701,744400
0.2530014470209456,0.446987012987013,0.25507736507645196,0.2496341180491858,0.2684415584415584,0.3665639005460077,0.2579102715466351,0.24454545454545462,0.25670848874309077,0.24639727960062216,745400
0.4561064283905512,0.2655064935064935,0.4573343845260096,0.5342971653603474,0.4435064935064934,0.6024424319895106,0.3266824085005903,0.7606493506493505,0.45979530849773015,0.6029666672695919,746400
0.8801079839380679,0.3734545454545455,1.052060653366753,1.1277829678196747,0.7837662337662336,1.4482090367468552,0.7944805194805198,1.1733766233766234,0.7883835887296097,1.283906866114387,747400
0.9693963675213666,0.4964102564102564,0.9795683131982386,1.1717158119658115,0.7974102564102561,1.342064609174466,0.7914102564102563,0.9664102564102564,0.8148720619658121,1.3486567841880341,748400
0.8225663817663821,0.3332307692307693,0.9093174460616089,0.8565650142450141,0.7574358974358977,0.7812701885680727,0.8158974358974357,0.9961538461538458,0.7519348290598292,0.9400091168091168,749400
0.9751736467236469,0.42528205128205115,0.9923804673774865,0.9802745868945862,0.9330769230769229,0.8703637351245348,0.9160000000000006,1.1323076923076918,0.9184673254985756,1.0286694800569798,750400
1.0773810541310542,0.5348717948717948,1.1933510084993466,1.1417672364672364,1.0776923076923073,1.1798017962634422,1.094256410256411,1.3602564102564105,1.0638855056980059,1.2063922720797722,751400
1.1950395299145307,0.7856923076923077,1.319516592514966,1.194186752136752,1.1076923076923078,0.9982337571076416,1.159692307692308,1.4476923076923076,1.1135916132478634,1.2568624465811968,752400
1.1286230769230774,0.5714358974358974,1.285194914810093,1.2422127635327638,1.1833333333333338,1.4687877829561442,1.2096410256410253,1.3684615384615388,1.1593092948717947,1.2780532051282056,753400
1.3189433611884869,1.4563888888888896,1.5184558005049567,1.3674465033538994,1.393333333333333,1.474276955307263,1.3363333333333336,1.6933333333333325,1.3688350634371393,1.4689025069637878,754400
0.7063256410256412,0.4118974358974359,1.0052543730886156,0.740470427350428,0.7164102564102564,0.777761398295452,0.8187179487179487,1.2230769230769227,0.709890847578348,0.8736027777777782,755400
1.0320334623593674,0.5623116883116884,1.2040275161265142,1.2572119770058905,0.8811688311688315,1.5442043181045155,0.9034238488783946,1.5211688311688312,0.9102936682694468,1.510456417537894,758400
1.3333611111111112,1.2413333333333334,1.6032250718297278,1.410733333333333,1.2733333333333334,1.3988468409392734,1.4663333333333333,1.7633333333333336,1.2813506944444446,1.5032569444444446,759400
1.2402241452991443,1.049076923076923,1.4587208387074904,1.3769358119658115,1.223076923076923,1.58450981301263,1.3800769230769225,1.593076923076923,1.2217019230769235,1.4298637286324782,760400
